Season;Date;HomeTeam;AwayTeam;Score;FTHG;FTAG;Odds_1;Odds_x;Odds_2;Explore_id;FTR
Elitserien 2008/2009;04/02/2009;Hammarby;Alingsas;28:19;28;19;1.59;10.22;2.62;dS5MsX25;H
Elitserien 2004/2005;21/02/2005;Lund;Guif;25:25;25;25;1.56;9.99;2.58;zsca7Oxs;D
Elitserien 2004/2005;21/02/2005;Vasteras Irsta HF;IFK Ystads;22:32;22;32;5.38;9.99;1.15;AakC4MMa;A
Elitserien 2004/2005;20/02/2005;Redbergslids;Drott;22:26;22;26;2.73;9.99;1.50;ImeYB4UP;A
Elitserien 2004/2005;20/02/2005;Tumba;Lugi;25:30;25;30;1.73;9.99;2.25;vcdUCpFJ;A
Elitserien 2004/2005;19/02/2005;Skovde;Djurgardens;39:25;39;25;1.04;9.99;9.99;xhIol1xJ;H
Elitserien 2004/2005;17/02/2005;Lugi;Skovde;25:30;25;30;3.45;9.99;1.34;OlEsksNC;A
Elitserien 2004/2005;16/02/2005;Djurgardens;Vasteras Irsta HF;21:21;21;21;1.34;9.99;3.45;0nNMg58s;D
Handbollsligan 2017/2018;02/02/2018;Guif;Savehof;26:24;26;24;1.93;8.19;2.23;jkF0VwA0;H
Handbollsligan 2017/2018;02/02/2018;Kristianstad;Helsingborg;28:22;28;22;1.00;26.96;21.90;rPBhXaul;H
Handbollsligan 2017/2018;02/02/2018;Lugi;Ystads IF;30:27;30;27;1.84;7.94;2.38;UuE4UcP6;H
Handbollsligan 2017/2018;02/02/2018;Malmo;Karlskrona;28:17;28;17;1.03;20.91;14.40;nH89THvD;H
Handbollsligan 2017/2018;02/02/2018;Redbergslids;Aranas;32:25;32;25;1.03;20.16;16.12;ADQ9BbyI;H
Handbollsligan 2017/2018;31/01/2018;Redbergslids;Guif;26:26;26;26;1.42;9.74;3.56;AHvSGve7;D
Handbollsligan 2017/2018;31/01/2018;Savehof;Ricoh;27:21;27;21;1.27;11.04;4.81;00MmYuQs;H
Handbollsligan 2017/2018;30/01/2018;Aranas;Malmo;20:27;20;27;6.59;12.89;1.17;bizMxMHQ;A
Elitserien 2015/2016;19/02/2016;Aranas;Drott;24:24;24;24;1.36;10.01;3.95;pMRXwtA7;D
Elitserien 2015/2016;18/02/2016;Lugi;Guif;25:29;25;29;1.31;10.59;4.27;C8TPu2ue;A
Elitserien 2015/2016;18/02/2016;Redbergslids;Ystads IF;25:27;25;27;1.60;8.96;2.83;6VSTvMf1;A
Elitserien 2015/2016;17/02/2016;Alingsas;Savehof;24:23;24;23;1.27;11.12;4.79;b5PLtrQl;H
Elitserien 2015/2016;17/02/2016;Kristianstad;Skovde;26:21;26;21;1.01;24.35;24.16;GtzHsOAr;H
Elitserien 2015/2016;15/02/2016;Malmo;Kristianstad;21:29;21;29;3.16;9.42;1.48;EXmkn42R;A
Elitserien 2015/2016;15/02/2016;Ricoh;Lugi;18:24;18;24;3.08;9.52;1.51;pbqompmL;A
Elitserien 2015/2016;14/02/2016;Guif;Redbergslids;23:28;23;28;1.75;8.96;2.46;Orexk6I8;A
Elitserien 2015/2016;14/02/2016;Savehof;Aranas;31:25;31;25;1.09;16.25;9.52;QcxZkn32;H
Elitserien 2015/2016;11/02/2016;Drott;Alingsas;15:24;15;24;10.68;15.48;1.07;67pslQXE;A
Elitserien 2013/2014;26/02/2014;Ystads IF;Redbergslids;28:33;28;33;1.72;8.77;2.50;dKeUWj12;A
Elitserien 2013/2014;23/02/2014;Hammarby;Rimbo;37:24;37;24;1.06;15.45;11.42;pMRuQKSk;H
Elitserien 2013/2014;20/02/2014;Guif;Lugi;23:22;23;22;1.74;8.95;2.45;bPghZO53;H
Elitserien 2013/2014;20/02/2014;Kristianstad;Malmo;25:29;25;29;1.19;12.19;5.87;6VSyR0Dq;A
Elitserien 2013/2014;20/02/2014;Lund;Ystads IF;28:29;28;29;1.98;8.38;2.13;lEn5WMkM;A
