,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
66,Home,Home,Away,1.87,8.86,2.1,0.4841740131378174,0.1073499545454979,0.4084760248661041
67,Home,Home,Away,1.65,9.64,2.51,0.5542902946472168,0.08805041015148163,0.35765933990478516
68,Home,Home,Draw,1.14,13.38,7.47,0.8926280736923218,0.025032898411154747,0.08233904093503952
69,Home,Home,Home,1.52,9.99,2.73,0.591616153717041,0.07963080704212189,0.3287530541419983
70,Home,Home,Home,1.39,9.99,3.1,0.6378151178359985,0.07942187786102295,0.2827630341053009
71,Home,Home,Home,1.07,15.27,11.12,0.9466105699539185,0.008697088807821274,0.04469241946935654
72,Home,Home,Home,1.0,26.96,21.9,0.996087908744812,8.779552445048466e-05,0.003824304323643446
73,Home,Home,Away,1.73,8.91,2.51,0.5378205180168152,0.10811150819063187,0.35406801104545593
74,Away,Away,Away,7.68,14.46,1.12,0.11949440091848373,0.046427007764577866,0.8340786099433899
75,Home,Home,Home,1.27,11.04,4.81,0.7831759452819824,0.06294245272874832,0.15388153493404388
76,Home,Home,Home,1.59,10.01,2.63,0.5754722952842712,0.07993392646312714,0.34459373354911804
77,Home,Home,Home,1.5,10.0,3.0,0.6187075972557068,0.08118867129087448,0.3001037538051605
78,Home,Home,Home,1.06,16.44,11.5,0.9565845131874084,0.006412714719772339,0.037002772092819214
79,Home,Home,Home,1.07,15.23,9.5,0.9362270832061768,0.011989003047347069,0.05178391560912132
80,Away,Away,Away,3.58,9.61,1.42,0.2906329035758972,0.10827706009149551,0.6010900139808655
81,Away,Away,Home,2.96,9.97,1.5,0.3321569859981537,0.0921575278043747,0.5756855010986328
82,Home,Home,Home,1.06,15.45,11.42,0.9493840932846069,0.007804736960679293,0.042811136692762375
83,Away,Away,Away,2.2,9.01,1.84,0.42796584963798523,0.10725708305835724,0.4647770822048187
84,Home,Home,Home,1.97,8.54,2.09,0.46946588158607483,0.11892928183078766,0.41160476207733154
85,Home,Home,Home,1.95,8.52,2.16,0.47782251238822937,0.12018058449029922,0.4019968807697296
86,Away,Away,Away,2.63,9.71,1.62,0.37153947353363037,0.09463470429182053,0.5338258147239685
87,Home,Home,Draw,1.5,9.15,3.21,0.6260812282562256,0.10248832404613495,0.27143043279647827
88,Away,Away,Home,3.32,8.81,1.48,0.3093632459640503,0.12827464938163757,0.5623620748519897
89,Away,Away,Away,8.97,15.25,1.11,0.0953289046883583,0.04297714680433273,0.8616939783096313
90,Home,Home,Home,1.0,25.88,26.88,0.9963513612747192,3.34265896526631e-05,0.0036151499953120947
91,Home,Home,Home,1.35,10.98,3.67,0.7000546455383301,0.06350992619991302,0.2364353984594345
92,Away,Away,Home,3.92,10.0,1.37,0.2690452039241791,0.10181055963039398,0.6291442513465881
93,Home,Home,Home,1.01,23.44,20.18,0.9922926425933838,0.0002476357331033796,0.007459738757461309
94,Away,Away,Away,3.0,9.76,1.5,0.32764357328414917,0.09795194864273071,0.5744044780731201
95,Home,Home,Home,1.18,12.48,5.96,0.8502840399742126,0.03851953521370888,0.11119642853736877
96,Away,Away,Away,5.19,11.83,1.22,0.1968870460987091,0.07226485013961792,0.7308480739593506
97,Home,Home,Home,1.8,9.99,2.18,0.5099577903747559,0.08016403019428253,0.4098782241344452
98,Away,Away,Home,4.0,11.45,1.31,0.2557305097579956,0.07038361579179764,0.6738859415054321
99,Away,Home,Away,2.11,8.48,1.94,0.44067415595054626,0.12186533957719803,0.4374605417251587
